City,Lat,Long,Temp (C),Humidity,Cloudiness,Wind Speed,Country,GMT
Khatanga,71.97,102.5,-13.99,86,12,3.9,RU,1603043205
Tiksi,71.69,128.87,-7.52,96,100,8.05,RU,1603043205
Castro,-24.79,-50.01,20.33,74,100,3.57,BR,1603043205
Rodrigues Alves,-7.74,-72.65,35.41,37,69,1.51,BR,1603043205
Punta Arenas,-53.15,-70.92,8.0,65,75,10.8,CL,1603043072
Ushuaia,-54.8,-68.3,8.0,63,40,8.2,AR,1603043164
Rikitea,-23.12,-134.97,23.83,79,68,9.47,PF,1603043205
Albany,42.6,-73.97,16.11,35,93,5.39,US,1603043205
Mitsamiouli,-11.38,43.28,25.92,74,10,2.43,KM,1603043206
Butaritari,3.07,172.79,27.54,73,63,8.09,KI,1603043206
Bluff,-46.6,168.33,8.33,92,100,0.45,NZ,1603043206
Hobart,-42.88,147.33,9.0,76,75,3.1,AU,1603042943
Fairbanks,64.84,-147.72,-8.89,78,75,2.1,US,1603042923
Puerto Ayora,-0.74,-90.35,25.0,73,75,7.2,EC,1603043206
Arraial do Cabo,-22.97,-42.03,25.0,69,40,8.2,BR,1603043206
Qaanaaq,77.48,-69.36,0.47,88,96,3.66,GL,1603043206
Tilichiki,60.47,166.1,1.32,89,93,3.0,RU,1603043206
Mataura,-46.19,168.86,8.33,92,100,0.45,NZ,1603043206
Xochistlahuaca,16.78,-98.25,32.56,48,74,1.89,MX,1603043206
Cabo San Lucas,22.89,-109.91,32.22,70,5,4.6,MX,1603042937
Kohima,25.67,94.12,16.75,100,33,1.68,IN,1603043207
Kapaa,22.08,-159.32,26.0,88,75,3.6,US,1603043207
Saint-Philippe,-21.36,55.77,23.0,69,29,2.6,RE,1603043115
Qui Nhon,13.77,109.23,25.27,85,100,2.53,VN,1603042947
Cidreira,-30.18,-50.21,21.98,71,73,8.54,BR,1603043207
Hermanus,-34.42,19.23,16.67,76,61,2.27,ZA,1603043207
Hay River,60.82,-115.8,-4.0,68,75,4.1,CA,1603043207
Busselton,-33.65,115.33,16.11,50,3,4.24,AU,1603043207
Caravelas,-17.71,-39.25,25.43,67,44,4.89,BR,1603043207
Coolum Beach,-26.53,153.1,20.56,73,78,0.45,AU,1603043208
Mahébourg,-20.41,57.7,24.0,69,40,3.6,MU,1603043176
Aksu,41.12,80.26,10.61,43,0,0.54,CN,1603043208
Yuxia,34.06,108.63,13.89,100,41,1.0,CN,1603043208
Atuona,-9.8,-139.03,25.5,77,13,8.07,PF,1603043208
Roald,62.58,6.13,4.0,80,40,1.5,NO,1603043208
Hong Kong,22.29,114.16,23.89,80,72,6.65,HK,1603042714
Narasannapeta,18.42,84.05,26.54,86,88,2.86,IN,1603043208
Chui,-33.7,-53.46,25.48,53,0,3.36,UY,1603043208
Aljezur,37.32,-8.8,18.18,78,67,4.47,PT,1603043208
Marawi,8.0,124.29,23.89,94,97,2.68,PH,1603043208
Viedma,-40.81,-63.0,27.22,12,2,3.58,AR,1603043208
Shingū,33.73,135.98,15.52,72,65,2.33,JP,1603043209
Sioux Lookout,50.1,-91.92,0.0,81,90,4.1,CA,1603043209
Cape Town,-33.93,18.42,17.22,72,20,6.7,ZA,1603043209
Olafsvik,64.89,-23.71,5.98,80,67,12.13,IS,1603043181
Longyearbyen,78.22,15.64,-3.0,79,40,5.1,SJ,1603043209
Champerico,14.3,-91.92,31.0,66,75,3.1,GT,1603043209
Kidal,18.44,1.41,34.19,11,0,1.48,ML,1603043209
Talnakh,69.49,88.4,-8.0,85,90,3.0,RU,1603043209
Hithadhoo,-0.6,73.08,28.65,77,100,7.18,MV,1603043210
Ribeira Grande,38.52,-28.7,17.0,55,40,5.7,PT,1603043210
Upernavik,72.79,-56.15,0.74,90,33,4.04,GL,1603043210
Santa Cruz de la Sierra,-17.8,-63.17,37.0,30,20,6.2,BO,1603043066
Vaini,-21.2,-175.2,21.0,88,75,4.6,TO,1603043210
Norman,35.22,-97.44,22.0,78,75,2.1,US,1603042916
Tuktoyaktuk,69.45,-133.04,-12.0,92,20,2.6,CA,1603043210
Kirakira,-10.45,161.92,26.32,82,91,3.23,SB,1603043210
Chicama,-7.84,-79.15,20.0,72,37,5.7,PE,1603043210
Egvekinot,66.32,-179.17,-4.48,88,94,2.72,RU,1603043107
Port Alfred,-33.59,26.89,16.82,81,54,3.78,ZA,1603043211
Thompson,55.74,-97.86,-3.0,92,90,3.1,CA,1603042964
Coquimbo,-29.95,-71.34,14.0,82,75,4.6,CL,1603042996
Torbay,47.67,-52.73,15.0,77,40,4.1,CA,1603043211
Puerto Escondido,15.85,-97.07,31.0,62,20,2.1,MX,1603043211
Teya,60.38,92.63,-1.63,93,100,7.1,RU,1603043211
Bredasdorp,-34.53,20.04,17.0,72,66,2.6,ZA,1603043211
Isangel,-19.55,169.27,21.23,72,2,1.99,VU,1603043211
Khani,41.96,42.96,14.0,87,0,1.0,GE,1603043211
Ostrovnoy,68.05,39.51,1.22,88,39,5.9,RU,1603043211
Sibolga,1.74,98.78,25.32,74,99,1.31,ID,1603043211
Ugoofaaru,5.67,73.0,28.08,77,95,4.59,MV,1603043212
Matara,5.95,80.54,25.63,87,67,4.37,LK,1603043212
Hualmay,-11.1,-77.61,20.3,65,49,4.74,PE,1603043212
Campbellsville,37.34,-85.34,14.44,71,90,2.6,US,1603043212
Departamento de Maldonado,-34.67,-54.92,28.0,54,20,4.1,UY,1603043212
Novikovo,51.15,37.89,8.02,69,85,5.69,RU,1603043212
Ponta do Sol,32.67,-17.1,23.0,83,75,9.8,PT,1603043212
Aragarças,-15.9,-52.25,37.49,25,42,0.63,BR,1603043212
Jamestown,42.1,-79.24,15.0,43,1,6.2,US,1603043190
San Ignacio,17.16,-89.07,28.89,74,40,1.5,BZ,1603043028
Loandjili,-4.76,11.86,27.0,83,90,5.7,CG,1603043213
Kalianget,-7.05,113.93,27.98,74,45,5.08,ID,1603043213
Iglino,54.83,56.41,8.0,42,98,6.0,RU,1603043213
Kirando,-7.42,30.6,27.41,44,12,2.18,TZ,1603043213
Mar del Plata,-38.0,-57.56,26.0,74,68,3.1,AR,1603043200
Padang,-0.95,100.35,25.81,76,74,1.55,ID,1603043213
Meulaboh,4.14,96.13,24.87,84,100,1.89,ID,1603043213
Diré,12.28,-10.97,29.83,58,30,0.24,ML,1603043213
Zadar,44.12,15.24,9.0,87,0,1.0,HR,1603043213
Yellowknife,62.46,-114.35,-2.78,92,90,3.1,CA,1603042965
Sinnamary,5.38,-52.95,30.4,63,54,4.54,GF,1603043213
Avera,33.19,-82.53,23.0,56,40,4.1,US,1603043214
Utiel,39.57,-1.2,16.11,70,83,2.68,ES,1603043214
Manoel Urbano,-8.84,-69.26,35.75,35,28,1.76,BR,1603043214
Lavrentiya,65.58,-171.0,1.83,90,91,0.48,RU,1603043214
Namwala,-15.75,26.44,26.26,17,26,3.36,ZM,1603043214
George Town,5.41,100.34,28.0,88,20,2.71,MY,1603042591
Faya,18.39,42.45,21.0,13,0,4.1,SA,1603043214
Barrow,71.29,-156.79,-6.0,79,75,6.7,US,1603043214
Wanning,18.8,110.4,25.33,87,100,8.87,CN,1603043214
Ridgetown,42.43,-81.9,13.0,62,20,7.7,CA,1603043214
Vila Franca do Campo,37.72,-25.43,18.0,52,20,6.7,PT,1603043215
Mezen',65.85,44.24,0.91,96,95,3.41,RU,1603043215
Hilo,19.73,-155.09,23.0,69,75,2.6,US,1603043179
Bethel,41.37,-73.41,16.11,51,75,4.1,US,1603043215
Fortuna,40.6,-124.16,15.56,93,1,2.6,US,1603043215
Tasiilaq,65.61,-37.64,1.0,74,35,7.7,GL,1603043215
Auce,56.46,22.9,3.33,82,0,4.92,LV,1603043215
Macon,39.87,-88.97,16.0,44,20,4.1,US,1603043215
Saint George,37.1,-113.58,18.0,17,1,1.27,US,1603043046
Airai,-8.93,125.41,15.88,80,13,0.8,TL,1603043215
Yangi Marg`ilon,40.43,71.72,12.0,58,0,4.1,UZ,1603043215
Prado,-17.34,-39.22,24.49,75,30,5.5,BR,1603043216
Paphos,34.77,32.42,22.0,78,35,2.6,CY,1603043216
Kavieng,-2.57,150.8,27.76,76,28,4.74,PG,1603043216
Hervey Bay,-25.3,152.85,19.44,82,49,2.1,AU,1603043216
Nuuk,64.18,-51.72,7.0,81,40,2.1,GL,1603043028
Bengkulu,-3.8,102.27,24.24,88,90,2.83,ID,1603043216
Dunedin,-45.87,170.5,9.44,91,100,0.5,NZ,1603043178
Valle de San Juan,4.2,-75.12,32.33,40,70,2.75,CO,1603043216
Tevaitoa,-16.78,-151.5,26.39,81,31,5.2,PF,1603043216
Lata,40.16,-8.33,23.33,49,84,1.81,PT,1603043216
Kandrian,-6.22,149.55,25.28,86,100,1.86,PG,1603043217
Auray,47.67,-2.99,11.11,87,99,1.48,FR,1603043217
Mossamedes,-15.2,12.15,21.15,74,27,3.63,AO,1603043217
Hamina,60.57,27.2,1.0,74,79,2.1,FI,1603043217
Soyo,-6.13,12.37,25.7,82,61,4.99,AO,1603043217
Rabo de Peixe,37.8,-25.58,18.0,52,20,6.7,PT,1603043217
Maniitsoq,65.42,-52.9,5.07,86,100,8.81,GL,1603043217
Cherskiy,68.75,161.3,-7.19,91,64,3.25,RU,1603043217
São Filipe,14.9,-24.5,27.21,79,54,2.79,CV,1603043217
Biak,-0.91,122.88,24.76,80,99,2.16,ID,1603043049
Fenoarivo,-18.93,47.44,19.0,72,75,5.1,MG,1603043218
Nhulunbuy,-12.23,136.77,23.0,88,69,2.15,AU,1603043218
Katsuura,35.13,140.3,14.0,76,40,3.6,JP,1603043218
Kabare,-2.47,28.82,18.03,81,84,0.88,CD,1603043218
Shache,38.42,77.24,8.64,46,0,2.47,CN,1603043218
Khromtau,50.25,58.43,8.75,55,29,5.78,KZ,1603043112
Kita,13.03,-9.49,31.09,37,33,1.16,ML,1603043218
Lermontovka,47.15,134.34,-0.9,85,7,1.72,RU,1603043218
Porto Walter,-8.27,-72.74,33.96,41,71,2.38,BR,1603043218
Leningradskiy,69.38,178.42,-5.5,86,0,2.78,RU,1603043218
Bagdarin,54.43,113.6,-0.09,95,96,1.26,RU,1603043219
Manihāri,25.35,87.63,26.12,61,13,0.68,IN,1603043219
Srednekolymsk,67.45,153.68,-5.9,98,90,1.71,RU,1603043219
Scarborough,54.28,-0.4,8.33,88,90,0.45,GB,1603042954
Oranjemund,-28.55,16.43,15.48,77,0,6.57,NA,1603043219
Tambopata,-12.73,-69.18,34.0,52,40,3.1,PE,1603043219
Jinxiang,27.43,120.61,19.01,78,98,5.09,CN,1603043219
Denpasar,-8.65,115.22,27.0,83,75,2.6,ID,1603042974
Waingapu,-9.66,120.26,26.84,74,32,1.33,ID,1603043219
Abu Samrah,35.3,37.18,19.16,35,30,1.96,SY,1603043219
New Norfolk,-42.78,147.06,9.0,76,75,3.1,AU,1603043219
Belaya Gora,68.53,146.42,-6.35,98,99,4.37,RU,1603043219
Mabaruma,8.2,-59.78,33.02,49,98,2.72,GY,1603043220
Kalanguy,51.02,116.52,-0.52,97,9,1.18,RU,1603043220
Taylor,32.3,-99.83,27.22,42,1,5.1,US,1603043220
Novyy Urgal,51.07,132.56,-3.07,83,56,1.02,RU,1603043220
Henties Bay,-22.12,14.28,16.11,87,1,1.34,NA,1603043220
Dikson,73.51,80.55,-3.16,90,29,13.06,RU,1603043220
Florø,61.6,5.03,5.0,75,94,2.6,NO,1603043220
Flinders,-34.58,150.86,15.0,84,71,0.45,AU,1603043220
Pangnirtung,66.15,-65.71,9.0,81,90,7.7,CA,1603043220
Necochea,-38.55,-58.74,19.19,62,36,5.43,AR,1603043180
Karasjok,69.47,25.51,1.0,86,75,4.1,NO,1603043220
Bilibino,68.05,166.44,-9.29,94,96,1.14,RU,1603043221
Topolobampo,25.6,-109.05,33.33,59,5,2.11,MX,1603043221
Dingle,11.0,122.67,24.68,90,100,2.43,PH,1603043221
Saint Paul Harbor,57.79,-152.41,6.0,75,75,3.19,US,1603043221
Alexandria,31.22,29.96,24.0,73,0,3.1,EG,1603043221
Oliveira dos Brejinhos,-12.32,-42.9,34.24,26,63,3.08,BR,1603043221
Halifax,44.65,-63.57,15.0,44,15,0.89,CA,1603043074
Lake Havasu City,34.48,-114.32,31.11,11,1,2.1,US,1603043221
Thaba-Tseka,-29.52,28.61,16.49,29,36,2.65,LS,1603043222
Ribeira Brava,32.65,-17.07,23.0,83,75,9.3,PT,1603043222
Loksa,59.58,25.72,4.44,86,75,4.6,EE,1603043222
Sisimiut,66.94,-53.67,6.07,66,100,7.53,GL,1603043222
Chokurdakh,70.63,147.92,-7.08,98,97,3.01,RU,1603043222
Poum,-20.23,164.02,22.8,74,0,7.96,NC,1603043222
Kiryat Gat,31.61,34.76,26.0,74,0,2.6,IL,1603043222
Lommel,51.23,5.31,11.11,87,99,1.0,BE,1603043222
Casma,-41.01,-73.12,14.0,58,75,9.8,CL,1603043222
Avarua,-21.21,-159.78,21.0,94,45,2.6,CK,1603043005
Rocha,-34.48,-54.33,27.93,65,8,4.13,UY,1603043222
Coyhaique,-45.58,-72.07,7.0,75,90,3.6,CL,1603043223
Katherine,-14.47,132.27,29.0,66,13,5.1,AU,1603043223
Esperance,-33.87,121.9,13.0,87,95,4.6,AU,1603043113
San Cristobal,7.77,-72.22,34.0,36,40,9.8,VE,1603042979
San Luis,-33.3,-66.34,35.91,18,0,5.54,AR,1603043223
Golden,39.76,-105.22,3.33,100,90,2.6,US,1603043223
São José da Coroa Grande,-8.9,-35.15,26.42,67,37,5.33,BR,1603043223
Faanui,-16.48,-151.75,25.92,82,19,4.1,PF,1603043223
Ndjolé,-0.18,10.76,24.38,93,98,1.56,GA,1603043224
Bonavista,48.65,-53.11,10.56,80,48,1.34,CA,1603043224
Severo-Kuril'sk,50.68,156.12,7.44,81,40,4.87,RU,1603043224
Pisco,-13.7,-76.22,18.33,82,90,3.1,PE,1603043112
Muros,42.78,-9.06,18.33,79,99,1.74,ES,1603043224
Ixtapa,20.7,-105.2,31.0,62,75,1.52,MX,1603043224
Bodden Town,19.28,-81.25,32.0,70,75,5.7,KY,1603043224
Hohhot,40.81,111.65,1.0,50,0,2.0,CN,1603043224
Kaitangata,-46.28,169.85,9.44,92,100,0.45,NZ,1603043224
Linkou,45.3,130.28,0.39,89,9,2.08,CN,1603043224
Hamilton,39.18,-84.53,12.22,76,90,1.5,US,1603043224
Mandalgovi,45.76,106.27,3.6,56,6,4.67,MN,1603043224
Bhabhua,25.05,83.62,23.95,57,0,1.33,IN,1603043225
Hokitika,-42.72,170.97,11.16,93,100,5.23,NZ,1603043225
Darhan,49.49,105.92,3.54,69,7,2.95,MN,1603043225
Iqaluit,63.75,-68.51,0.0,98,90,3.6,CA,1603042965
Hauterive,46.09,3.45,10.0,66,50,1.5,FR,1603043225
Laguna,38.42,-121.42,25.0,33,1,1.5,US,1603043061
Saskylakh,71.92,114.08,-7.17,97,97,2.52,RU,1603043225
Tahe,52.33,124.73,-4.36,94,87,1.24,CN,1603043225
Emba,48.83,58.14,13.37,66,0,6.28,KZ,1603043225
Acajutla,13.59,-89.83,28.0,65,94,2.42,SV,1603043031
Tūkrah,32.53,20.58,22.31,81,100,6.78,LY,1603043226
Skała,50.23,19.85,9.0,76,75,5.1,PL,1603043226
Hasaki,35.73,140.83,11.0,93,20,3.6,JP,1603042943
Davila,18.47,120.58,27.26,78,62,8.45,PH,1603043226
Hibbing,47.43,-92.94,-2.0,73,90,3.6,US,1603043226
Urengoy,65.97,78.37,-5.53,96,71,5.33,RU,1603043226
Pataias,39.67,-9.0,21.0,43,62,3.1,PT,1603043226
Boa Vista,2.82,-60.67,35.0,39,40,3.6,BR,1603042985
São João da Barra,-21.64,-41.05,26.0,57,75,8.2,BR,1603043226
Klaksvík,62.23,-6.59,4.0,93,100,3.1,FO,1603043226
Vestmannaeyjar,63.44,-20.27,6.0,87,20,4.6,IS,1603043226
Livingston,55.9,-3.52,10.0,81,75,1.0,GB,1603042990
São Raimundo Nonato,-9.02,-42.7,36.11,21,55,4.03,BR,1603043227
Port-Gentil,-0.72,8.78,27.0,83,75,5.1,GA,1603043227
Pa Sang,18.53,98.94,26.0,65,75,3.1,TH,1603043227
Bratsk,56.13,101.61,10.0,46,100,5.0,RU,1603043227
Esim,4.87,-2.24,25.55,86,39,3.45,GH,1603043227
Bambous Virieux,-20.34,57.76,24.0,69,40,3.6,MU,1603043227
Bilma,18.69,12.92,31.6,11,0,3.07,NE,1603043227
Mahibadhoo,3.78,72.97,28.11,78,36,6.01,MV,1603043227
Bathsheba,13.22,-59.52,31.0,70,40,3.1,BB,1603043227
Balabac,7.99,117.06,27.45,79,80,4.25,PH,1603043228
Pevek,69.7,170.31,-4.7,94,30,7.44,RU,1603043178
Farsund,58.09,6.8,7.78,57,78,5.81,NO,1603043228
Kopavogur,64.11,-21.91,7.0,75,40,10.3,IS,1603043228
Touros,-5.2,-35.46,29.0,66,40,4.6,BR,1603043228
Mabai,23.01,104.45,11.47,98,100,2.17,CN,1603043228
Turukhansk,65.82,87.98,-3.56,99,100,3.63,RU,1603043228
Ahipara,-35.17,173.17,13.29,92,62,3.02,NZ,1603043177
Juba,4.85,31.58,22.08,91,99,0.78,SS,1603043229
Omboué,-1.57,9.26,24.89,90,100,2.99,GA,1603043229
Ola,59.58,151.28,1.9,92,100,3.22,RU,1603043229
Gaspé,48.83,-64.48,11.0,53,20,3.1,CA,1603042804
Santa Clara,22.4,-79.97,29.0,74,75,4.1,CU,1603043229
Fărcaşa,47.58,23.33,7.22,93,75,0.5,RO,1603043229
Lompoc,34.64,-120.46,19.0,63,1,1.5,US,1603043229
Cabo Rojo,18.09,-67.15,30.56,71,80,0.89,PR,1603043229
Verkhnetulomskiy,68.61,31.8,-4.0,92,86,2.0,RU,1603043229
Pitimbu,-7.47,-34.81,30.0,55,40,6.7,BR,1603043230
Zelenoborsk,61.47,64.03,-1.16,92,40,2.84,RU,1603043230
Marmande,44.5,0.17,13.89,83,20,1.57,FR,1603043230
Camacha,33.08,-16.33,22.0,88,40,7.2,PT,1603043104
Dubbo,-32.25,148.62,7.0,93,0,1.97,AU,1603043230
Kalininsk,51.5,44.48,12.71,68,39,4.41,RU,1603043230
Zhigansk,66.77,123.37,-11.7,95,84,2.34,RU,1603043230
Norman Wells,65.28,-126.83,-14.0,92,40,2.6,CA,1603043230
Tefé,-3.35,-64.71,33.0,66,20,2.1,BR,1603043230
Kargasok,59.06,80.86,-1.67,95,100,8.0,RU,1603043230
Port Lincoln,-34.73,135.87,11.22,80,1,3.78,AU,1603042944
Quthing,-30.4,27.7,22.26,21,75,2.38,LS,1603043231
Garoowe,8.41,48.48,27.94,55,23,5.87,SO,1603043231
Te Anau,-45.42,167.72,6.53,92,100,0.57,NZ,1603043231
Algiers,36.75,3.04,20.0,68,0,5.7,DZ,1603042901
Mehamn,71.04,27.85,-1.0,92,40,1.5,NO,1603043231
Deputatsky,69.3,139.9,-10.29,96,100,4.24,RU,1603043231
Ilulissat,69.22,-51.1,4.0,60,99,5.7,GL,1603043231
Vostok,46.49,135.88,-5.09,93,1,1.62,RU,1603043231
Alpinópolis,-20.86,-46.39,27.63,46,54,2.83,BR,1603043231
Sterling,39.01,-77.43,17.78,48,75,5.1,US,1603042984
Nortelândia,-14.45,-56.8,32.57,40,46,5.54,BR,1603043039
Ancud,-41.87,-73.82,11.67,87,90,9.3,CL,1603043232
Linqu,36.52,118.54,12.3,41,24,1.38,CN,1603043232
Zakamensk,50.37,103.29,0.13,87,99,1.35,RU,1603043232
Jalu,29.03,21.55,29.68,19,16,3.52,LY,1603043232
General Roca,-39.03,-67.58,23.0,23,0,2.6,AR,1603043232
Nanortalik,60.14,-45.24,4.61,95,83,3.66,GL,1603043232
Santa Maria,-29.68,-53.81,30.71,41,0,1.58,BR,1603043232
Ossora,59.24,163.07,2.02,82,100,3.54,RU,1603043232
Narsaq,60.92,-46.05,5.0,90,55,1.5,GL,1603043100
