City,Lat,Long,Temp (C),Humidity,Cloudiness,Wind Speed,Country,GMT
Muscatine,41.47,-91.13,4.0,86,1,3.6,US,1603043232
Imbituba,-28.24,-48.67,25.0,57,40,7.2,BR,1603043056
Drayton Valley,53.22,-114.99,-7.22,65,47,0.45,CA,1603043233
Portland,45.52,-122.68,16.11,62,90,2.1,US,1603043021
Bougouni,11.42,-7.48,29.6,57,23,2.02,ML,1603043233
Huilong,31.81,121.66,17.78,73,94,3.02,CN,1603043233
Jumla,29.27,82.18,11.4,63,31,1.85,NP,1603043233
Sabha,27.04,14.43,28.48,15,99,2.94,LY,1603043233
Paamiut,61.99,-49.67,5.69,87,52,14.29,GL,1603043233
Svobodnyy,51.4,128.13,-0.78,86,100,1.53,RU,1603043234
Cockburn Town,21.46,-71.14,31.0,58,40,5.1,TC,1603043024
San Patricio,28.02,-97.52,31.67,48,20,6.7,US,1603043234
Sotik Post,-0.78,35.34,15.08,93,100,1.77,KE,1603043234
Delhi,28.67,77.22,30.0,47,5,1.5,IN,1603042853
Kraskino,42.71,130.78,6.51,62,0,3.1,RU,1603043234
Puducherry,11.93,79.83,24.98,85,100,5.44,IN,1603043221
Baraúna,-5.08,-37.62,35.49,26,50,7.08,BR,1603043234
Anadyr,64.75,177.48,-6.0,85,12,2.0,RU,1603043234
Pionerskiy,54.95,20.23,9.44,70,40,4.0,RU,1603043235
Half Moon Bay,37.46,-122.43,25.0,72,5,3.1,US,1603043112
Monchegorsk,67.94,32.87,-0.79,93,100,4.4,RU,1603043220
Middelburg,-25.78,29.46,26.76,18,63,1.78,ZA,1603043235
Wewak,-3.55,143.63,26.0,85,92,1.96,PG,1603043235
Bariloche,-41.15,-71.31,12.0,37,20,15.4,AR,1603043235
Vyaz'ma,55.21,34.3,2.79,84,99,5.49,RU,1603043235
Saldanha,-33.01,17.94,17.0,67,38,5.1,ZA,1603043235
Shihezi,44.3,86.03,11.79,39,47,1.2,CN,1603043235
Terråk,65.09,12.37,4.0,60,20,3.1,NO,1603043235
Tambacounda,13.75,-13.76,36.0,53,0,2.1,SN,1603043236
Blackfoot,43.19,-112.34,13.89,39,87,2.24,US,1603043026
Lüderitz,-26.65,15.16,20.07,45,0,9.82,NA,1603043236
Okhotsk,59.38,143.3,-3.74,85,35,6.69,RU,1603043236
Rawson,-43.3,-65.1,21.61,22,0,7.55,AR,1603043236
Nicolás Bravo,18.45,-88.92,29.0,79,40,1.46,MX,1603043236
Decatur,39.84,-88.95,16.0,44,20,4.1,US,1603043236
Nikolskoye,59.7,30.79,2.22,91,90,2.0,RU,1603043236
Xixiang,35.16,112.86,15.0,99,91,1.27,CN,1603043236
São Félix do Xingu,-6.64,-51.99,39.85,20,98,1.81,BR,1603043236
Aktobe,50.28,57.21,10.0,57,22,7.0,KZ,1603043237
Celestún,20.87,-90.4,29.83,66,4,4.32,MX,1603043237
Clyde River,70.47,-68.59,-6.0,85,20,2.1,CA,1603043237
Hidalgo,20.5,-99.0,21.71,48,70,1.39,MX,1603043237
Larsnes,62.2,5.58,3.33,93,75,3.6,NO,1603043237
Carnarvon,-24.87,113.63,21.0,83,75,5.7,AU,1603043237
Kawalu,-7.38,108.21,22.52,92,99,0.45,ID,1603043237
Uyutnoye,45.2,33.3,16.4,72,44,3.34,UA,1603043237
St. Marys,30.73,-81.55,27.22,78,90,6.7,US,1603043146
Tulun,54.56,100.58,7.42,67,100,1.8,RU,1603043238
Devonport,-41.17,146.35,8.89,74,0,0.89,AU,1603043238
Novyy Nekouz,57.9,38.07,1.34,96,100,5.9,RU,1603043238
East London,-33.02,27.91,17.0,72,50,4.6,ZA,1603043180
Wajima,37.4,136.9,17.07,54,75,3.17,JP,1603043238
Māngrol,21.12,70.12,27.89,84,16,3.97,IN,1603043238
Kupang,-10.17,123.58,25.83,76,12,2.28,ID,1603043238
Hazorasp,41.32,61.07,11.0,40,0,2.1,UZ,1603043238
Staraya Toropa,56.28,31.67,4.29,89,100,5.84,RU,1603043177
Albertville,34.27,-86.21,20.56,56,1,3.1,US,1603043238
Alice Springs,-23.7,133.88,24.0,36,81,4.6,AU,1603043044
San Vicente,-26.62,-54.13,32.37,27,1,1.49,AR,1603043238
Alenquer,-1.94,-54.74,34.0,52,20,2.1,BR,1603043020
Tagusao,9.19,117.81,27.13,79,92,2.0,PH,1603043239
Cartagena del Chairá,1.33,-74.84,35.27,41,50,0.68,CO,1603043239
Cascais,38.7,-9.42,19.44,63,65,2.6,PT,1603043239
La Ronge,55.1,-105.28,-4.0,79,90,6.7,CA,1603043112
Puri,19.8,85.85,25.0,100,75,4.76,IN,1603043239
Jackson,42.42,-122.83,12.0,62,1,1.01,US,1603043160
Vuktyl,63.86,57.31,-1.08,98,97,2.49,RU,1603043036
Florianópolis,-27.61,-48.5,27.22,57,40,7.2,BR,1603043080
Panjāb,34.39,67.02,-0.61,78,0,2.34,AF,1603043239
Biskamzha,53.45,89.53,-2.38,94,82,5.21,RU,1603043239
Cayenne,4.93,-52.33,32.0,59,40,4.1,GF,1603043062
Carman,49.5,-98.0,0.56,48,0,4.47,CA,1603043240
North Myrtle Beach,33.82,-78.68,25.0,56,1,2.6,US,1603042986
João Pinheiro,-17.74,-46.17,24.37,59,98,3.42,BR,1603043240
Dauphin,51.15,-100.05,-1.0,58,20,8.7,CA,1603043240
Moba,33.23,105.02,4.64,75,94,1.28,CN,1603043240
Akonolinga,3.77,12.25,21.57,95,100,1.43,CM,1603043240
Bontang,0.13,117.5,26.51,85,82,2.82,ID,1603043240
Honningsvåg,70.98,25.97,2.0,69,75,2.6,NO,1603043240
Juneau,58.3,-134.42,2.22,86,90,2.31,US,1603043102
Araouane,18.9,-3.53,35.81,12,0,3.59,ML,1603043240
Provideniya,64.38,-173.3,0.94,91,61,2.21,RU,1603043240
Kortkeros,61.81,51.58,0.0,98,90,3.0,RU,1603043240
Los Llanos de Aridane,28.66,-17.92,24.0,78,20,7.2,ES,1603043241
Maningrida,-12.07,134.27,25.24,81,63,2.26,AU,1603043241
Chapais,49.78,-74.85,7.0,81,90,7.7,CA,1603043241
Sitka,57.05,-135.33,6.0,60,90,1.5,US,1603043241
Lázaro Cárdenas,17.96,-102.2,30.67,65,72,1.71,MX,1603043241
Beloha,-25.17,45.05,19.0,77,0,7.5,MG,1603043241
Rio Grande,-32.03,-52.1,27.22,61,2,2.24,BR,1603042984
Hammerfest,70.66,23.68,-1.0,100,40,4.6,NO,1603043241
Abu Dhabi,24.47,54.37,30.0,51,0,5.1,AE,1603043241
Dolisie,-4.2,12.67,23.86,90,91,2.69,CG,1603043242
Dārāb,28.75,54.54,16.1,20,0,2.02,IR,1603043242
Torit,4.41,32.57,21.29,90,94,1.04,SS,1603043242
Fontanka,46.56,30.86,13.0,54,86,4.0,UA,1603043242
Sola,-13.88,167.55,26.35,82,14,9.16,VU,1603043177
Phuthaditjhaba,-28.52,28.82,21.62,21,41,1.2,ZA,1603043242
Bandundu Province,-3.32,17.37,22.91,89,47,0.99,CD,1603043242
Nyazepetrovsk,56.05,59.6,2.04,81,99,2.18,RU,1603043242
Dapaong,10.86,0.2,29.97,51,41,3.11,TG,1603043242
Lensk,60.73,114.93,-6.95,95,20,1.77,RU,1603043242
Camopi,3.17,-52.32,34.99,38,74,2.04,GF,1603043242
Bull Savanna,17.89,-77.59,28.65,72,94,5.49,JM,1603043243
Prince Albert,53.2,-105.77,-4.0,68,75,7.2,CA,1603043109
Inongo,-1.95,18.27,24.78,79,55,1.14,CD,1603042973
Nador,35.17,-2.93,21.0,73,20,2.6,MA,1603043243
Nizhniy Odes,63.64,54.86,-0.72,96,99,2.38,RU,1603043243
Gander,48.97,-54.59,17.0,63,75,4.6,CA,1603043243
Malakal,9.53,31.66,23.02,91,45,2.07,SS,1603043243
Nome,64.5,-165.41,4.0,86,90,4.6,US,1603043205
Brunswick,41.24,-81.84,12.0,54,90,5.7,US,1603043183
Tongliao,43.61,122.27,8.77,49,0,4.98,CN,1603043244
Cândido Mendes,-1.45,-45.72,31.24,53,82,3.77,BR,1603043244
Bassila,9.01,1.67,24.51,87,29,0.57,BJ,1603043244
Sørland,67.67,12.69,6.0,70,40,8.7,NO,1603043244
Yokadouma,3.52,15.05,23.98,79,43,1.45,CM,1603043244
Jimma,7.67,36.83,16.21,87,95,1.04,ET,1603043244
Guider,9.93,13.95,30.13,32,5,1.92,CM,1603043244
Olinda,-8.01,-34.86,29.0,62,40,6.2,BR,1603043244
Vao,-22.67,167.48,21.66,81,36,8.36,NC,1603043244
Guerrero Negro,27.98,-114.06,27.74,45,29,3.5,MX,1603043245
Lorengau,-2.02,147.27,27.72,77,37,3.38,PG,1603043245
Beni Suef,29.07,31.1,26.66,42,0,5.49,EG,1603043245
Dongsheng,39.82,109.98,4.46,57,0,1.72,CN,1603043245
Saurimo,-9.66,20.39,21.99,70,38,1.38,AO,1603043245
Port-Cartier,50.03,-66.87,8.33,75,40,2.1,CA,1603043245
Digapahandi,19.37,84.58,25.64,85,88,1.0,IN,1603043245
Lebu,-37.62,-73.65,13.2,62,0,3.85,CL,1603043245
Rūjiena,57.9,25.33,2.98,81,30,3.77,LV,1603043203
Manggar,-2.88,108.27,27.15,82,100,3.49,ID,1603043245
Comodoro Rivadavia,-45.87,-67.5,20.0,18,20,14.4,AR,1603043102
Port Elizabeth,-33.92,25.57,16.0,82,25,5.1,ZA,1603042961
College,64.86,-147.8,-8.89,78,75,2.1,US,1603043246
Myrtle Beach,33.69,-78.89,23.33,60,1,2.6,US,1603043107
Matamoros,25.53,-103.25,26.0,27,5,0.6,MX,1603043089
Antofagasta,-23.65,-70.4,16.0,77,90,4.1,CL,1603043214
Naica,27.85,-105.48,28.71,20,0,3.32,MX,1603043246
Miraflores,19.22,-98.81,21.0,46,5,1.3,MX,1603043246
Sainte-Marie,-20.9,55.55,23.0,73,38,4.1,RE,1603043246
Yumen,40.28,97.2,7.31,43,63,7.49,CN,1603043246
Tabuan,9.52,122.85,24.01,88,99,0.93,PH,1603043246
Lagos,6.58,3.75,25.76,85,11,2.2,NG,1603042855
Samut Songkhram,13.4,99.96,24.44,83,100,2.99,TH,1603043246
San Quintín,30.48,-115.95,27.43,44,44,6.02,MX,1603043246
Kieta,-6.22,155.63,26.08,76,87,0.54,PG,1603043247
Vawkavysk,53.16,24.45,6.19,76,100,3.99,BY,1603043247
Richards Bay,-28.78,32.04,22.87,81,29,6.05,ZA,1603043247
Nemuro,43.32,145.57,12.35,75,0,6.82,JP,1603043099
Gboko,7.32,9.0,25.33,78,85,2.21,NG,1603043247
Vidor,30.13,-94.02,30.0,62,75,4.6,US,1603043247
Mgandu,-5.95,34.13,20.95,35,24,3.47,TZ,1603043247
Aklavik,68.22,-135.01,-13.0,92,20,1.5,CA,1603043247
Darnah,32.77,22.64,22.35,80,100,6.08,LY,1603043247
Vardø,70.37,31.11,3.0,69,40,4.1,NO,1603043247
Loikaw,19.67,97.21,18.85,89,80,0.56,MM,1603043248
Fayaoué,-20.65,166.53,22.98,62,2,4.53,NC,1603043248
Barreirinha,-2.79,-57.07,36.78,34,44,0.53,BR,1603043248
Sanquhar,55.37,-3.92,11.0,81,75,1.5,GB,1603043248
Eureka,40.8,-124.16,15.56,93,1,2.1,US,1603043113
Angra dos Reis,-23.01,-44.32,23.96,68,17,2.56,BR,1603043248
Pando,-34.72,-55.95,30.0,55,40,4.62,UY,1603043248
Kununurra,-15.77,128.73,28.0,78,46,2.1,AU,1603043248
Chara,56.91,118.26,-8.17,89,69,0.24,RU,1603043248
Codrington,-38.27,141.97,7.3,95,29,2.69,AU,1603043248
Saint-Joseph,-21.37,55.62,23.0,69,13,2.6,RE,1603043248
Talisayan,6.99,121.93,26.25,82,100,2.24,PH,1603043248
Constitución,-35.33,-72.42,15.53,55,0,7.41,CL,1603043249
Kamenka,51.32,42.77,12.22,68,7,4.42,RU,1603043249
Jiquilisco,13.32,-88.58,34.0,70,20,2.19,SV,1603043249
Sarangani,5.4,125.46,27.52,79,100,4.76,PH,1603043249
Methóni,36.82,21.7,21.11,68,40,2.6,GR,1603043249
Wejherowo,54.61,18.24,5.56,86,37,3.1,PL,1603043249
Keti Bandar,24.14,67.45,29.68,72,67,2.49,PK,1603043249
Rodolfo Sánchez Taboada,31.72,-116.57,28.89,19,21,0.45,MX,1603043249
Falmouth,50.15,-5.07,11.67,81,67,3.6,GB,1603043022
Martapura,-3.42,114.85,24.0,100,90,1.0,ID,1603043250
Grindavik,63.84,-22.43,6.0,87,40,9.3,IS,1603043241
Havelock,34.88,-76.9,24.44,77,18,3.64,US,1603043250
Penzance,50.12,-5.54,11.67,81,95,3.6,GB,1603043250
Haines Junction,60.75,-137.51,-6.1,79,82,0.63,CA,1603043250
Mīnāb,27.15,57.08,21.0,19,0,3.1,IR,1603043250
Staritsa,56.51,34.94,2.42,84,100,4.92,RU,1603043250
Beringovskiy,63.05,179.32,1.17,86,58,2.31,RU,1603043250
Vila Velha,-20.33,-40.29,25.56,69,75,3.6,BR,1603043250
Arkhara,49.42,130.08,-1.17,87,42,3.35,RU,1603043250
Vanavara,60.34,102.28,3.29,92,100,6.06,RU,1603043110
Karratha,-20.74,116.85,18.85,75,0,5.63,AU,1603043069
Malaya Purga,56.56,53.0,3.89,85,100,1.79,RU,1603043251
Tulagi,-9.1,160.15,28.16,73,78,1.6,SB,1603043251
The Valley,18.22,-63.06,26.0,100,75,5.1,AI,1603042966
Dondo,-19.61,34.74,23.0,78,15,4.1,MZ,1603043251
Mayumba,-3.43,10.66,25.56,88,90,4.01,GA,1603043251
Boysun,38.21,67.2,11.06,43,0,0.6,UZ,1603043251
Kempele,64.91,25.5,1.67,97,90,2.1,FI,1603043251
Turiaçu,-1.66,-45.37,30.66,58,94,3.5,BR,1603043251
Broome,42.25,-75.83,15.0,32,1,7.2,US,1603043251
Prince Rupert,54.32,-130.32,6.0,93,90,1.0,CA,1603043251
Naryan-Mar,67.67,53.09,-1.61,95,0,0.92,RU,1603043251
Homer,59.64,-151.55,4.44,93,90,0.96,US,1603043252
Muroto-misakicho,33.28,134.15,19.37,62,60,5.57,JP,1603043252
Laredo,27.51,-99.51,29.0,62,1,4.1,US,1603043252
Siniscola,40.57,9.69,17.0,63,40,1.5,IT,1603043252
Edelira,-26.75,-55.27,34.16,28,0,2.04,PY,1603043252
Collie,-33.37,116.15,16.11,50,5,2.88,AU,1603043252
Puerto Maldonado,-12.6,-69.18,34.0,52,40,3.1,PE,1603043252
Alofi,-19.06,-169.92,25.0,94,89,1.5,NU,1603043029
Agüimes,27.91,-15.45,23.0,73,20,6.2,ES,1603043252
Bonthe,7.53,-12.51,27.27,83,94,3.3,SL,1603043252
Sakaiminato,35.55,133.23,12.0,93,75,2.6,JP,1603043252
Sambava,-14.27,50.17,23.28,79,0,5.32,MG,1603043253
Athabasca,54.72,-113.29,-5.2,79,0,2.11,CA,1603043178
Kérouané,9.27,-9.02,24.72,83,99,0.8,GN,1603043253
Souillac,-20.52,57.52,24.0,69,40,3.6,MU,1603043253
Kumul,42.8,93.45,8.99,42,100,1.7,CN,1603043253
Hoskote,14.28,77.17,23.8,82,100,2.6,IN,1603043253
Skaerbaek,55.16,8.77,10.0,71,40,5.7,DK,1603043253
Mitú,1.2,-70.17,32.59,49,78,0.09,CO,1603043003
Okha,53.57,142.95,1.67,87,92,8.83,RU,1603043253
Laas,46.62,10.7,7.78,65,5,0.34,IT,1603043253
Akureyri,65.68,-18.09,5.0,93,90,7.7,IS,1603043253
Micco,27.88,-80.5,29.44,70,11,8.7,US,1603043254
Makakilo City,21.35,-158.09,26.0,83,90,2.35,US,1603043254
Doka,13.52,35.77,27.24,38,0,2.34,SD,1603043254
Solwezi,-12.17,26.39,20.77,46,0,1.22,ZM,1603043254
Whitianga,-36.83,175.7,14.44,95,50,0.89,NZ,1603043254
St. George's,12.06,-61.75,31.0,70,20,6.2,GD,1603043254
Iskateley,67.68,53.15,-1.69,94,0,0.96,RU,1603043177
Pershotravneve,51.39,28.87,6.17,78,85,4.69,UA,1603043254
Shenjiamen,29.96,122.3,18.66,63,87,4.83,CN,1603043254
Minot,48.23,-101.3,-2.0,50,90,9.3,US,1603043254
Aripuanã,-9.17,-60.63,32.83,46,88,0.83,BR,1603043254
Isiro,2.77,27.62,20.75,96,100,0.26,CD,1603043255
Malartic,48.13,-78.13,10.0,66,90,8.2,CA,1603043255
Korla,41.76,86.15,12.22,76,0,2.68,CN,1603043255
Udachny,66.42,112.4,-12.0,92,75,1.0,RU,1603043255
‘Āhuimanu,21.44,-157.84,26.0,94,1,2.01,US,1603043255
Sakata,38.92,139.85,13.65,73,43,1.56,JP,1603043255
Apache Junction,33.42,-111.55,31.11,14,1,1.5,US,1603043075
Goundam,16.41,-3.67,36.95,12,56,5.73,ML,1603043255
Kawambwa,-9.79,29.08,25.73,32,38,2.05,ZM,1603043255
Flin Flon,54.77,-101.86,-1.0,80,90,4.1,CA,1603043124
Nyagan,62.14,65.39,-0.62,90,75,3.48,RU,1603043255
Shizunai-furukawachō,42.33,142.37,11.38,71,0,1.27,JP,1603043255
Columbia,34.0,-81.03,21.11,45,1,2.6,US,1603043149
Carbonia,39.17,8.52,18.0,77,40,4.6,IT,1603043255
Atar,20.52,-13.05,36.26,17,0,4.57,MR,1603043256
Saravena,6.95,-71.88,30.67,58,73,1.56,CO,1603043256
Waitati,-45.75,170.57,9.44,90,100,1.34,NZ,1603043256
Dhidhdhoo,6.88,73.1,28.13,78,95,5.66,MV,1603043256
Samarai,-10.62,150.67,26.17,88,83,3.41,PG,1603043256
Ulladulla,-35.35,150.47,12.78,100,90,4.1,AU,1603043113
Izumo,35.37,132.77,12.0,93,75,2.6,JP,1603043256
Walvis Bay,-22.96,14.51,18.0,72,0,2.6,NA,1603043256
Vanderhoof,54.02,-124.02,-1.5,88,90,1.64,CA,1603043104
Talas,38.69,35.55,17.0,42,40,2.1,TR,1603043256
Salalah,17.02,54.09,28.0,37,0,2.6,OM,1603043256
Arman',59.7,150.17,0.65,93,100,1.96,RU,1603043256
Pithora,21.27,82.52,24.35,83,99,0.41,IN,1603043257
Yulara,-25.24,130.99,20.0,88,90,6.7,AU,1603043257
Turka,49.15,23.03,6.11,96,81,2.82,UA,1603043257
Kemlya,54.7,45.24,8.7,83,36,5.29,RU,1603043257
Ciudad Ojeda,10.2,-71.31,31.34,65,71,2.22,VE,1603043092
Presidencia Roque Sáenz Peña,-26.79,-60.44,36.74,31,2,3.9,AR,1603043257
Xining,36.62,101.77,2.16,77,19,0.33,CN,1603043257
Saint Anthony,45.02,-93.22,1.0,58,90,5.1,US,1603043257
Iguaba Grande,-22.84,-42.23,25.0,69,40,8.2,BR,1603043257
Urusha,54.05,122.9,-5.96,95,25,0.4,RU,1603043257
Harper,4.38,-7.72,25.79,88,74,3.48,LR,1603043257
Kruisfontein,-34.0,24.73,15.56,76,22,0.45,ZA,1603043257
Copiapó,-27.37,-70.33,14.0,76,90,4.1,CL,1603043258
Sechura,-5.56,-80.82,25.22,53,16,7.15,PE,1603043258
Bakel,14.9,-12.46,37.26,17,0,2.51,SN,1603043258
Kashima,33.11,130.09,17.78,58,100,0.89,JP,1603043258
Conceição do Araguaia,-8.26,-49.26,37.52,26,69,2.98,BR,1603043258
Behbahān,30.6,50.24,25.0,20,0,2.1,IR,1603043258
Gopāmau,27.55,80.28,24.29,30,37,1.16,IN,1603043258
Esmeraldas,-19.76,-44.31,23.0,64,75,5.7,BR,1603043258
Bako,5.78,36.57,17.75,95,93,1.7,ET,1603043258
Peniche,39.36,-9.38,18.33,67,53,1.79,PT,1603043258
Puerto Carreño,6.19,-67.49,32.49,54,48,0.48,CO,1603043003
Pocatello,42.87,-112.45,13.89,24,40,11.8,US,1603043002
Bayburt,40.26,40.23,12.17,36,17,1.3,TR,1603043259
Quatre Cocos,-20.21,57.76,24.0,69,40,3.6,MU,1603043259
Ignacio Zaragoza,28.38,-107.22,25.0,30,6,1.79,MX,1603043259
